Disease,Temperature (°C),Humidity (%),Rainfall (mm),Cloud Cover (%),Wind Speed (km/h),Leaf Wetness (hrs),Risk La,Risk Label
Common Scab,21.4,77.97,0.53,26.0,3.19,8.96,Low Risk,
Common Scab,23.36,70.96,1.62,23.63,3.21,8.46,Low Risk,
Common Scab,20.0,74.31,0.35,43.64,2.95,5.03,Low Risk,
Common Scab,21.89,82.27,1.02,26.47,1.33,8.66,Low Risk,
Common Scab,22.7,71.83,0.42,37.85,1.02,6.96,Low Risk,
Common Scab,23.94,70.06,0.95,19.7,1.62,7.01,Low Risk,
Common Scab,23.56,79.87,0.2,43.2,3.19,9.54,Low Risk,
Common Scab,19.42,73.51,1.2,32.13,3.1,5.09,Low Risk,
Common Scab,18.06,76.2,1.74,16.43,1.01,8.51,Low Risk,
Common Scab,19.61,83.84,0.05,43.33,2.67,8.99,Low Risk,
Common Scab,23.45,69.54,0.11,17.97,3.52,9.48,Low Risk,
Common Scab,21.28,70.29,0.05,35.04,3.89,7.41,Low Risk,
Common Scab,25.79,69.71,0.31,11.47,3.34,7.21,Low Risk,
Common Scab,22.78,73.75,0.48,49.44,3.6,6.4,Low Risk,
Common Scab,20.7,77.01,1.25,17.31,1.05,7.1,Low Risk,
Common Scab,22.07,69.26,1.26,46.9,3.61,8.08,Low Risk,
Bacterial Wilt,23.47,72.46,1.62,42.22,2.75,6.86,Low Risk,
Bacterial Wilt,21.25,83.47,0.14,40.83,1.42,5.86,Low Risk,
Bacterial Wilt,20.79,71.8,0.28,19.7,2.68,6.38,Low Risk,
Bacterial Wilt,25.41,67.95,0.86,33.19,2.45,6.87,Low Risk,
Bacterial Wilt,25.1,79.94,0.62,17.3,3.72,6.13,Low Risk,
Bacterial Wilt,19.59,67.96,0.96,35.4,2.67,6.18,Low Risk,
Bacterial Wilt,24.3,82.29,0.75,11.29,2.49,5.27,Low Risk,
Bacterial Wilt,24.94,66.66,0.16,34.88,3.54,7.5,Low Risk,
Bacterial Wilt,24.04,65.81,1.03,41.41,1.12,7.24,Low Risk,
Bacterial Wilt,21.65,71.03,1.48,31.44,2.92,8.19,Low Risk,
Bacterial Wilt,18.7,84.36,0.36,20.41,2.19,6.29,Low Risk,
Bacterial Wilt,20.06,76.32,1.07,22.57,2.52,5.11,Low Risk,
Bacterial Wilt,21.86,71.41,0.3,49.62,2.21,9.71,Low Risk,
Bacterial Wilt,25.21,83.56,1.29,15.43,1.0,8.93,Low Risk,
Bacterial Wilt,25.32,81.7,1.01,21.64,1.01,5.11,Low Risk,
Bacterial Wilt,25.2,76.0,1.61,17.59,2.14,9.78,Low Risk,
Bacterial Wilt,23.28,70.02,1.91,24.3,1.45,9.61,Low Risk,
Bacterial Wilt,21.18,79.15,1.46,12.48,3.44,8.6,Low Risk,
Bacterial Wilt,22.16,74.79,0.52,26.25,3.94,6.78,Low Risk,
Bacterial Wilt,18.46,74.11,0.64,22.27,3.63,5.52,Low Risk,
Bacterial Wilt,20.89,75.38,0.79,12.7,2.03,7.09,Low Risk,
Bacterial Wilt,19.92,67.94,1.55,30.47,3.52,7.62,Low Risk,
Bacterial Wilt,22.84,73.33,1.7,36.99,1.75,7.88,Low Risk,
Bacterial Wilt,20.95,78.53,0.34,19.16,2.36,6.86,Low Risk,
Bacterial Wilt,22.16,82.53,0.15,45.53,3.24,9.07,Low Risk,
Bacterial Wilt,25.26,80.43,0.03,41.46,2.66,6.48,Low Risk,
Bacterial Wilt,20.23,77.61,0.7,46.79,2.78,5.48,Low Risk,
Bacterial Wilt,25.8,69.16,1.61,39.86,3.2,9.86,Low Risk,
Bacterial Wilt,21.48,70.27,0.4,38.72,2.61,5.21,Low Risk,
Bacterial Wilt,19.31,65.42,0.03,11.74,3.72,9.53,Low Risk,
Bacterial Wilt,21.59,68.92,1.11,48.67,3.95,6.95,Low Risk,
Bacterial Wilt,24.3,79.61,0.68,25.57,3.93,9.96,Low Risk,
Bacterial Wilt,18.58,77.24,0.9,14.97,2.15,5.22,Low Risk,
Bacterial Wilt,25.91,66.62,1.9,31.33,3.8,7.84,Low Risk,
Bacterial Wilt,21.57,73.36,1.9,22.84,3.26,6.88,Low Risk,
Bacterial Wilt,20.1,74.8,1.7,38.28,1.26,6.95,Low Risk,
Bacterial Wilt,24.78,71.3,0.23,25.77,3.29,7.39,Low Risk,
Bacterial Wilt,20.94,71.52,0.77,37.82,3.17,9.11,Low Risk,
Bacterial Wilt,18.3,70.39,0.34,38.42,1.58,5.73,Low Risk,
Bacterial Wilt,20.57,79.47,0.82,14.83,1.32,6.21,Low Risk,
Bacterial Wilt,18.57,69.24,0.41,35.85,3.73,8.74,Low Risk,
Bacterial Wilt,19.31,74.7,1.74,47.89,3.0,8.74,Low Risk,
Bacterial Wilt,21.46,70.22,1.14,18.77,3.63,9.06,Low Risk,
Bacterial Wilt,22.11,69.07,0.82,18.59,1.95,6.42,Low Risk,
Bacterial Wilt,25.75,66.95,1.87,45.48,1.4,6.32,Low Risk,
Bacterial Wilt,18.58,66.7,1.59,43.95,3.59,6.09,Low Risk,
Bacterial Wilt,22.74,73.98,0.46,27.35,3.23,5.42,Low Risk,
Bacterial Wilt,25.96,70.66,0.01,33.93,1.21,9.59,Low Risk,
Bacterial Wilt,22.58,79.92,1.85,18.02,1.62,5.6,Low Risk,
Bacterial Wilt,24.36,77.48,1.11,41.94,2.39,9.19,Low Risk,
Bacterial Wilt,23.92,68.61,1.87,27.11,2.41,7.79,Low Risk,
Bacterial Wilt,18.45,67.37,1.74,25.45,3.39,7.89,Low Risk,
Bacterial Wilt,20.18,74.66,1.97,24.42,1.66,5.49,Low Risk,
Bacterial Wilt,25.28,66.6,0.07,27.75,2.38,8.91,Low Risk,
Bacterial Wilt,21.23,65.12,1.21,23.17,1.61,5.98,Low Risk,
Bacterial Wilt,19.43,77.62,1.96,21.94,2.54,9.25,Low Risk,
Bacterial Wilt,20.04,78.79,0.87,48.44,2.3,6.21,Low Risk,
Bacterial Wilt,20.88,83.15,0.62,45.63,3.77,6.93,Low Risk,
Bacterial Wilt,25.97,78.63,0.59,12.92,3.0,8.51,Low Risk,
Bacterial Wilt,21.6,74.33,0.69,24.12,2.29,6.23,Low Risk,
Bacterial Wilt,22.25,66.76,1.0,10.03,3.74,5.85,Low Risk,
Bacterial Wilt,19.15,83.41,1.85,33.93,1.11,9.68,Low Risk,
Bacterial Wilt,25.8,78.68,0.29,12.77,3.98,6.41,Low Risk,
Bacterial Wilt,24.85,81.76,0.74,18.44,3.91,8.7,Low Risk,
Bacterial Wilt,24.26,78.36,1.11,44.2,3.91,9.12,Low Risk,
Bacterial Wilt,24.42,84.19,0.25,32.22,3.69,9.77,Low Risk,
Bacterial Wilt,19.76,74.32,1.86,38.98,3.76,7.91,Low Risk,
